Company Name,Company Revenue (in millions),Employee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone,AccountID,LeadID
HF Sinclair,14000,3000,Oil and Gas,,Public Company,United States,Dallas,EST,3800,102780
HII,7200,42000,Defense and Space Manufacturing,"SURFACE COMBATANTS, NUCLEAR-POWERED SUBMARINES, AIRCRAFT CARRIERS, AMPHIBIOUS WARSHIPS, U.S. COAST GUARD CUTTERS, UNMANNED SYSTEMS, INTEGRATED DIGITAL SHIPBUILDING, RCOH, AI, BIG DATA",Public Company,United States,Newport News,EST,3810,102790
HORNBECK OFFSHORE®,500,1400,"Transportation, Logistics, Supply Chain and Storage","Deepwater and Ultra-Deepwater Oil & Gas Exploration and Production, Subsea Construction, Installation & IRM Activities, Offshore Supply Vessels & Multi-Purpose Support Vessels, ROVs, Large Capacity Cranes, Winches & Reel Systems, Petroleum Transportation",Privately Held,United States,Covington,EST,3820,102800
HPE Aruba Networking,5000,6500,Information Technology & Services,"Networking, Wi-Fi, 802.11ac Wi-Fi, Remote networking, Multivendor network management",Public Company,United States,Santa Clara,EST,3830,102810
"Haas Automation, Inc.",1300,1800,Machinery Manufacturing,"CNC Vertical Machining Centers, CNC Horizontal Machining Centers, CNC Lathes/Turning Centers, CNC Rotary Tables and Indexers, 5-Axis CNC Machining Centers, CNC Mold Making Machining Centers, CNC Toolroom Machines, CNC Gantry Routers, Haas CNC Control",Privately Held,United States,Oxnard,EST,3840,102820
Hanesbrands Inc.,6800,63000,Consumer Goods,Consumer Goods,Public Company,United States,Winston-Salem,EST,3850,102830
Harland Clarke Customer Engagement Solutions,900,3000,Financial Services,"Payment Solutions, Marketing Services, Check Programs, Cards, Analytics, Deposit Acquisition, Loan Acquisition, Customer Engagement",Privately Held,United States,San Antonio,EST,3860,102840
Harmony Public Schools,500,4000,Education Administration Programs,"STEM Focused K-12 Public Education, College Prep, STEM",Public Company,United States,Houston,EST,3870,102850
Harte Hanks,600,2400,Advertising Services,"Direct Marketing, Agency, Data Services, Database Marketing, Digital Marketing, Direct Mail, Fulfillment, Pharmaceutical Marketing, Retail Marketing, Social Media, Ecommerce, Customer Care, Demand Generation, CRM, Customer Experience (CX), B2B Marketing, Healthcare Marketing, Content & Creative Services, Strategy and Analytics, Logistics",Public Company,United States,Chelmsford,EST,3880,102860
Hasbro,5100,5800,Consumer Goods,"Play, Entertainment",Public Company,United States,Pawtucket,EST,3890,102870
Havertys Furniture,1200,3200,Furniture and Home Furnishings Manufacturing,,Public Company,United States,Atlanta,EST,3900,102880
Hawaii Pacific University,200,900,Higher Education,higher education,Educational Institution,United States,Honolulu,EST,3910,102890
Hawaiian Electric,3200,2900,Utilities,,Public Company,United States,Honolulu,EST,3920,102900
Haworth,2100,7500,Furniture,"Organic Workspaces®, Raised Floors, Movable Walls, Systems Furniture, Seating, Storage, Lighting, Wood Casegoods, Design, Manufacturing",Privately Held,United States,"Holland, Mi",EST,3930,102910
Herc Rentals,1500,4700,Construction,,Public Company,United States,Bonita Springs,EST,3940,102920
Hess Corporation,5800,1900,Oil & Energy,Exploration and Production,Public Company,United States,New York,EST,3950,102930
Hewlett-Packard,58000,49000,IT Services and IT Consulting,,Public Company,United States,Palo Alto,EST,3960,102940
Hexcel Corporation,1500,6200,Aviation and Aerospace Component Manufacturing,"Commercial Aerospace, Space and Defense, Composite Technology, Wind Energy, Industrial Applications, Prepregs, Carbon Fibers, Honeycomb, Adhesives, Engineered Core, Automotive, Technology",Public Company,United States,Stamford,EST,3970,102950
Hexion Inc.,2350,4500,Chemicals,,Privately Held,United States,Columbus,EST,3980,102960
